n_estimators,max_depth,min_samples_split,MSE
10,0.0,2,279.55589860000026
10,0.0,5,472.64457251111054
10,0.0,10,3495.5914209599987
10,5.0,2,370.97064639999905
10,5.0,5,597.6804831277766
10,5.0,10,3432.4359555599985
10,10.0,2,416.7593934000015
10,10.0,5,460.12306521666704
10,10.0,10,3494.6022089999983
10,20.0,2,601.7978178000021
10,20.0,5,443.8895747277775
10,20.0,10,3469.335200999999
50,0.0,2,451.4524424559951
50,0.0,5,583.6714374219421
50,0.0,10,3439.1713651343985
50,5.0,2,540.4948979279936
50,5.0,5,769.606066841058
50,5.0,10,3425.762261145598
50,10.0,2,305.5832258719958
50,10.0,5,620.9048765402754
50,10.0,10,3453.6547634495973
50,20.0,2,461.72223627199327
50,20.0,5,584.9699204108296
50,20.0,10,3449.639686790398
100,0.0,2,273.9885301500026
100,0.0,5,653.0936703228703
100,0.0,10,3427.364452174399
100,5.0,2,319.2132525840034
100,5.0,5,603.15398309547
100,5.0,10,3459.2173500835984
100,10.0,2,325.655967924004
100,10.0,5,679.2993533820684
100,10.0,10,3428.7421807423975
100,20.0,2,273.61904698400247
100,20.0,5,743.3316220384957
100,20.0,10,3426.544127984399
500,0.0,2,318.40442781717456
500,0.0,5,638.3676399524774
500,0.0,10,3430.936969820734
500,5.0,2,346.640281528218
500,5.0,5,608.6002872405309
500,5.0,10,3427.7648476483982
500,10.0,2,310.2965027355791
500,10.0,5,663.1551229501059
500,10.0,10,3427.5589402499972
500,20.0,2,316.89980539765713
500,20.0,5,656.6689572999835
500,20.0,10,3425.9694911821425
1000,0.0,2,323.83617666478347
1000,0.0,5,608.0986408530802
1000,0.0,10,3426.5213902448995
1000,5.0,2,362.29345439775216
1000,5.0,5,629.4444752617234
1000,5.0,10,3427.1554197066203
1000,10.0,2,307.18126026204925
1000,10.0,5,623.0640816546563
1000,10.0,10,3426.060111632013
1000,20.0,2,372.7783085661229
1000,20.0,5,613.426602289285
1000,20.0,10,3426.9696691235963
